Executor;ID;Expression;Time
BParser AVX2;0;-v1;0.15788739999999998
BParser AVX2;1;v1 + v2;0.16020173333333335
BParser AVX2;2;v1 - v2;0.15994966666666668
BParser AVX2;3;v1 * v2;0.16033013333333335
BParser AVX2;4;v1 / v2;0.21446733333333334
BParser AVX2;5;v1 % v2;0.5526028666666666
BParser AVX2;6;(v1 == v2);0.2725666666666667
BParser AVX2;7;v1 != v2;0.2727028666666667
BParser AVX2;8;v1 < v2;0.273269
BParser AVX2;9;v1 <= v2;0.273529
BParser AVX2;10;v1 > v2;0.2730416
BParser AVX2;11;v1 >= v2;0.2740516666666667
BParser AVX2;12;not (v1 == v2);0.3718266
BParser AVX2;13;v1 or v2;0.15425360000000002
BParser AVX2;14;v1 and v2;0.15446859999999998
BParser AVX2;15;abs(v1);0.11626952666666666
BParser AVX2;16;sqrt(v1);0.3096681333333333
BParser AVX2;17;exp(v1);2.9915946666666664
BParser AVX2;18;log(v1);3.0132393333333334
BParser AVX2;19;log10(v1);3.0209886666666668
BParser AVX2;20;sin(v1);2.031909333333333
BParser AVX2;21;sinh(v1);3.764539333333333
BParser AVX2;22;asin(v1);1.619114
BParser AVX2;23;cos(v1);2.042504666666667
BParser AVX2;24;cosh(v1);3.3408493333333333
BParser AVX2;25;acos(v1);1.8029013333333335
BParser AVX2;26;tan(v1);1.88439
BParser AVX2;27;tanh(v1);4.028978666666666
BParser AVX2;28;atan(v1);1.6438453333333334
BParser AVX2;29;ceil(v1);0.2417612
BParser AVX2;30;floor(v1);0.23380253333333334
BParser AVX2;31;isnan(v1);0.11534590666666666
BParser AVX2;32;isinf(v1);0.19574126666666666
BParser AVX2;33;sgn(v1);0.21885346666666666
BParser AVX2;34;atan2(v1, v2);3.035706666666667
BParser AVX2;35;v1 ** v2;7.8767086666666675
BParser AVX2;36;maximum(v1, v2);0.1543938
BParser AVX2;37;minimum(v1, v2);0.15547386666666665
BParser AVX2;38;v3 if v1 == v2 else v4;0.4809661333333333
BParser AVX2;39;cv1 + v1 + v2 - v3;0.43880766666666665
BParser AVX2;40;cs1 - v1 + v2 * v3;0.43188340000000003
BParser AVX2;41;cs1 * v1 / v2;0.3521938
BParser AVX2;42;cv1 / v1 * v2 / v3;0.5716262000000001
BParser AVX2;43;v1 + v2 + v3 + v4;0.4394676
BParser AVX2;44;3 * v1 + cs1 * v2 + v3 + 2.5 * v4;0.8860904000000001
BParser AVX512;0;-v1;0.09777434
BParser AVX512;1;v1 + v2;0.1324092
BParser AVX512;2;v1 - v2;0.13242600000000002
BParser AVX512;3;v1 * v2;0.13250706666666667
BParser AVX512;4;v1 / v2;0.20760246666666668
BParser AVX512;5;v1 % v2;0.5148704
BParser AVX512;6;(v1 == v2);0.24859393333333332
BParser AVX512;7;v1 != v2;0.2488626
BParser AVX512;8;v1 < v2;0.2485860666666667
BParser AVX512;9;v1 <= v2;0.24741513333333334
BParser AVX512;10;v1 > v2;0.24817199999999998
BParser AVX512;11;v1 >= v2;0.24756473333333331
BParser AVX512;12;not (v1 == v2);0.329149
BParser AVX512;13;v1 or v2;0.13183966666666666
BParser AVX512;14;v1 and v2;0.13181706666666665
BParser AVX512;15;abs(v1);0.09181776
BParser AVX512;16;sqrt(v1);0.309622
BParser AVX512;17;exp(v1);2.1892193333333334
BParser AVX512;18;log(v1);2.146056
BParser AVX512;19;log10(v1);2.151413333333333
BParser AVX512;20;sin(v1);1.879172
BParser AVX512;21;sinh(v1);2.651140666666667
BParser AVX512;22;asin(v1);2.0858626666666664
BParser AVX512;23;cos(v1);2.2994913333333336
BParser AVX512;24;cosh(v1);2.2665859999999998
BParser AVX512;25;acos(v1);2.2682886666666664
BParser AVX512;26;tan(v1);2.147144
BParser AVX512;27;tanh(v1);2.8727786666666666
BParser AVX512;28;atan(v1);1.6636486666666668
BParser AVX512;29;ceil(v1);0.21272886666666666
BParser AVX512;30;floor(v1);0.2170988666666667
BParser AVX512;31;isnan(v1);0.09167334
BParser AVX512;32;isinf(v1);0.18142213333333332
BParser AVX512;33;sgn(v1);0.1945598
BParser AVX512;34;atan2(v1, v2);3.1927373333333335
BParser AVX512;35;v1 ** v2;7.636764666666666
BParser AVX512;36;maximum(v1, v2);0.13136033333333333
BParser AVX512;37;minimum(v1, v2);0.1316282
BParser AVX512;38;v3 if v1 == v2 else v4;0.43512293333333335
BParser AVX512;39;cv1 + v1 + v2 - v3;0.378971
BParser AVX512;40;cs1 - v1 + v2 * v3;0.38234653333333335
BParser AVX512;41;cs1 * v1 / v2;0.3270338
BParser AVX512;42;cv1 / v1 * v2 / v3;0.5389928
BParser AVX512;43;v1 + v2 + v3 + v4;0.396274
BParser AVX512;44;3 * v1 + cs1 * v2 + v3 + 2.5 * v4;0.7296232666666665
BParser SSE;0;-v1;0.1636192
BParser SSE;1;v1 + v2;0.21038586666666667
BParser SSE;2;v1 - v2;0.21068033333333333
BParser SSE;3;v1 * v2;0.21064146666666667
BParser SSE;4;v1 / v2;0.22649486666666666
BParser SSE;5;v1 % v2;0.5388552666666667
BParser SSE;6;(v1 == v2);0.40417126666666664
BParser SSE;7;v1 != v2;0.40447086666666665
BParser SSE;8;v1 < v2;0.4053084
BParser SSE;9;v1 <= v2;0.40358180000000005
BParser SSE;10;v1 > v2;0.40455853333333336
BParser SSE;11;v1 >= v2;0.40322600000000003
BParser SSE;12;not (v1 == v2);0.5497586
BParser SSE;13;v1 or v2;0.21082753333333332
BParser SSE;14;v1 and v2;0.21068906666666667
BParser SSE;15;abs(v1);0.15728593333333332
BParser SSE;16;sqrt(v1);0.3113166
BParser SSE;17;exp(v1);1.9180266666666668
BParser SSE;18;log(v1);1.783914
BParser SSE;19;log10(v1);1.8042286666666667
BParser SSE;20;sin(v1);2.6813973333333334
BParser SSE;21;sinh(v1);2.432479333333333
BParser SSE;22;asin(v1);1.5678860000000001
BParser SSE;23;cos(v1);2.7033486666666664
BParser SSE;24;cosh(v1);2.230221333333333
BParser SSE;25;acos(v1);1.7377973333333334
BParser SSE;26;tan(v1);2.3807313333333338
BParser SSE;27;tanh(v1);2.780044666666667
BParser SSE;28;atan(v1);1.7507533333333332
BParser SSE;29;ceil(v1);0.2400697333333333
BParser SSE;30;floor(v1);0.231167
BParser SSE;31;isnan(v1);0.15938646666666667
BParser SSE;32;isinf(v1);0.19098620000000002
BParser SSE;33;sgn(v1);0.27672253333333335
BParser SSE;34;atan2(v1, v2);3.297070666666667
BParser SSE;35;v1 ** v2;9.711294
BParser SSE;36;maximum(v1, v2);0.2125892
BParser SSE;37;minimum(v1, v2);0.2097125333333333
BParser SSE;38;v3 if v1 == v2 else v4;0.6623587333333333
BParser SSE;39;cv1 + v1 + v2 - v3;0.6416629333333332
BParser SSE;40;cs1 - v1 + v2 * v3;0.6056168
BParser SSE;41;cs1 * v1 / v2;0.4227124
BParser SSE;42;cv1 / v1 * v2 / v3;0.6711950666666666
BParser SSE;43;v1 + v2 + v3 + v4;0.6054159333333333
BParser SSE;44;3 * v1 + cs1 * v2 + v3 + 2.5 * v4;1.2265733333333333
BParser no vectorization;0;-v1;0.23985753333333332
BParser no vectorization;1;v1 + v2;0.3414542666666666
BParser no vectorization;2;v1 - v2;0.34117573333333334
BParser no vectorization;3;v1 * v2;0.339324
BParser no vectorization;4;v1 / v2;0.42830893333333336
BParser no vectorization;5;v1 % v2;1.7858046666666667
BParser no vectorization;6;(v1 == v2);0.6735103333333333
BParser no vectorization;7;v1 != v2;0.7217622666666668
BParser no vectorization;8;v1 < v2;0.7569043333333333
BParser no vectorization;9;v1 <= v2;0.6437112
BParser no vectorization;10;v1 > v2;0.8711963333333334
BParser no vectorization;11;v1 >= v2;0.6794747999999999
BParser no vectorization;12;not (v1 == v2);0.9360142
BParser no vectorization;13;v1 or v2;0.34077826666666666
BParser no vectorization;14;v1 and v2;0.3408705333333334
BParser no vectorization;15;abs(v1);0.23696140000000002
BParser no vectorization;16;sqrt(v1);0.6215898666666667
BParser no vectorization;17;exp(v1);2.406742
BParser no vectorization;18;log(v1);2.0411646666666665
BParser no vectorization;19;log10(v1);3.7989153333333334
BParser no vectorization;20;sin(v1);4.383574666666666
BParser no vectorization;21;sinh(v1);3.1448046666666665
BParser no vectorization;22;asin(v1);2.3354766666666666
BParser no vectorization;23;cos(v1);4.4242333333333335
BParser no vectorization;24;cosh(v1);2.7752440000000003
BParser no vectorization;25;acos(v1);2.390045333333333
BParser no vectorization;26;tan(v1);10.32816
BParser no vectorization;27;tanh(v1);1.1642793333333332
BParser no vectorization;28;atan(v1);3.8991453333333337
BParser no vectorization;29;ceil(v1);0.6534652666666666
BParser no vectorization;30;floor(v1);0.6530860666666667
BParser no vectorization;31;isnan(v1);0.27654073333333334
BParser no vectorization;32;isinf(v1);0.33271646666666665
BParser no vectorization;33;sgn(v1);0.3415406
BParser no vectorization;34;atan2(v1, v2);7.963920666666667
BParser no vectorization;35;v1 ** v2;5.081560666666666
BParser no vectorization;36;maximum(v1, v2);0.44455713333333335
BParser no vectorization;37;minimum(v1, v2);0.3450704
BParser no vectorization;38;v3 if v1 == v2 else v4;1.0891793333333333
BParser no vectorization;39;cv1 + v1 + v2 - v3;1.0352334666666667
BParser no vectorization;40;cs1 - v1 + v2 * v3;1.0002624666666666
BParser no vectorization;41;cs1 * v1 / v2;0.755011
BParser no vectorization;42;cv1 / v1 * v2 / v3;1.2047173333333334
BParser no vectorization;43;v1 + v2 + v3 + v4;0.9982551999999999
BParser no vectorization;44;3 * v1 + cs1 * v2 + v3 + 2.5 * v4;2.019756
BParser_OLD;0;-v1;0.173116
BParser_OLD;1;v1 + v2;0.2291618
BParser_OLD;2;v1 - v2;0.22417586666666667
BParser_OLD;3;v1 * v2;0.22789246666666668
BParser_OLD;4;v1 / v2;0.4134388
BParser_OLD;5;v1 % v2;1.714866
BParser_OLD;6;(v1 == v2);0.6924524666666667
BParser_OLD;7;v1 != v2;0.6409762666666666
BParser_OLD;8;v1 < v2;0.4813329333333333
BParser_OLD;9;v1 <= v2;0.4818028
BParser_OLD;10;v1 > v2;0.4823177333333334
BParser_OLD;11;v1 >= v2;0.48309993333333334
BParser_OLD;12;not (v1 == v2);1.0920793333333334
BParser_OLD;13;v1 or v2;0.2268598
BParser_OLD;14;v1 and v2;0.22580153333333333
BParser_OLD;15;abs(v1);0.16650953333333335
BParser_OLD;16;sqrt(v1);0.6181531333333333
BParser_OLD;17;exp(v1);2.5277779999999996
BParser_OLD;18;log(v1);1.9330146666666665
BParser_OLD;19;log10(v1);3.494738
BParser_OLD;20;sin(v1);4.625036
BParser_OLD;21;sinh(v1);2.9383
BParser_OLD;22;asin(v1);2.31762
BParser_OLD;23;cos(v1);4.672398666666667
BParser_OLD;24;cosh(v1);2.7034826666666665
BParser_OLD;25;acos(v1);2.2507859999999997
BParser_OLD;26;tan(v1);10.056173333333334
BParser_OLD;27;tanh(v1);1.0884853333333335
BParser_OLD;28;atan(v1);3.8364546666666666
BParser_OLD;29;ceil(v1);0.2017886
BParser_OLD;30;floor(v1);0.20107586666666669
BParser_OLD;31;isnan(v1);0.20736726666666666
BParser_OLD;32;isinf(v1);0.27657319999999996
BParser_OLD;33;sgn(v1);0.2529976666666667
BParser_OLD;34;atan2(v1, v2);7.831773999999999
BParser_OLD;35;v1 ** v2;4.831396
BParser_OLD;36;maximum(v1, v2);0.23219133333333333
BParser_OLD;37;minimum(v1, v2);0.23348566666666667
BParser_OLD;38;v3 if v1 == v2 else v4;0.9907623333333333
BParser_OLD;39;cv1 + v1 + v2 - v3;0.6408875333333334
BParser_OLD;40;cs1 - v1 + v2 * v3;0.6367296666666667
BParser_OLD;41;cs1 * v1 / v2;0.6243304666666667
BParser_OLD;42;cv1 / v1 * v2 / v3;1.0390626666666667
BParser_OLD;43;v1 + v2 + v3 + v4;0.6442157333333333
BParser_OLD;44;3 * v1 + cs1 * v2 + v3 + 2.5 * v4;1.3204239999999998
C++;0;-v1;0.23547906666666665
C++;1;v1 + v2;0.23982946666666666
C++;2;v1 - v2;0.2495055333333333
C++;3;v1 * v2;0.2394764
C++;4;v1 / v2;0.4141871333333333
C++;5;v1 % v2;1.9710233333333333
C++;6;(v1 == v2);0.31797580000000003
C++;7;v1 != v2;0.3450151333333333
C++;8;v1 < v2;0.3364897333333333
C++;9;v1 <= v2;0.3367383333333333
C++;10;v1 > v2;0.45329833333333336
C++;11;v1 >= v2;0.45220946666666667
C++;12;not (v1 == v2);0.34486113333333335
C++;13;v1 or v2;0.591897
C++;14;v1 and v2;0.5940158666666666
C++;15;abs(v1);0.22853313333333333
C++;16;sqrt(v1);0.7136512666666667
C++;17;exp(v1);2.55037
C++;18;log(v1);2.083946666666667
C++;19;log10(v1);3.598984
C++;20;sin(v1);4.342540666666666
C++;21;sinh(v1);3.15296
C++;22;asin(v1);2.3981426666666668
C++;23;cos(v1);4.369870000000001
C++;24;cosh(v1);2.887237333333333
C++;25;acos(v1);2.308437333333333
C++;26;tan(v1);10.202746666666666
C++;27;tanh(v1);1.18738
C++;28;atan(v1);3.81807
C++;29;ceil(v1);0.6293356666666666
C++;30;floor(v1);0.6607587333333333
C++;31;isnan(v1);0.3244325333333334
C++;32;isinf(v1);0.40448846666666666
C++;33;sgn(v1);0.2896176
C++;34;atan2(v1, v2);8.240642
C++;35;v1 ** v2;5.060419333333333
C++;36;maximum(v1, v2);0.35847453333333335
C++;37;minimum(v1, v2);0.27313166666666666
C++;38;v3 if v1 == v2 else v4;0.41069026666666664
C++;39;cv1 + v1 + v2 - v3;0.4102872
C++;40;cs1 - v1 + v2 * v3;0.3576536666666667
C++;41;cs1 * v1 / v2;0.4140178
C++;42;cv1 / v1 * v2 / v3;0.83621
C++;43;v1 + v2 + v3 + v4;0.40822946666666665
C++;44;3 * v1 + cs1 * v2 + v3 + 2.5 * v4;0.5424740666666668
