Executor;ID;Expression;Time
BParser SSE;32;isinf(v1);0.185545
BParser SSE;33;sgn(v1);0.275431
BParser SSE;34;atan2(v1, v2);3.28745
BParser SSE;35;v1 ** v2;9.65493
BParser SSE;36;maximum(v1, v2);0.2074
BParser SSE;37;minimum(v1, v2);0.204059
BParser SSE;38;v3 if v1 == v2 else v4;0.655159
BParser SSE;39;cv1 + v1 + v2 - v3;0.623012
BParser SSE;40;cs1 - v1 + v2 * v3;0.601134
BParser SSE;41;cs1 * v1 / v2;0.419732
BParser SSE;42;cv1 / v1 * v2 / v3;0.666314
BParser SSE;43;v1 + v2 + v3 + v4;0.604303
BParser SSE;44;3 * v1 + cs1 * v2 + v3 + 2.5 * v4;1.2201
BParser no vectorization;0;-v1;0.230513
BParser no vectorization;1;v1 + v2;0.334277
BParser no vectorization;2;v1 - v2;0.333942
BParser no vectorization;3;v1 * v2;0.331182
BParser no vectorization;4;v1 / v2;0.421686
BParser no vectorization;5;v1 % v2;1.76843
BParser no vectorization;6;(v1 == v2);0.65801
BParser no vectorization;7;v1 != v2;0.704317
BParser no vectorization;8;v1 < v2;0.753942
BParser no vectorization;9;v1 <= v2;0.643962
BParser no vectorization;10;v1 > v2;0.859447
BParser no vectorization;11;v1 >= v2;0.659131
BParser no vectorization;12;not (v1 == v2);0.913628
BParser no vectorization;13;v1 or v2;0.331199
BParser no vectorization;14;v1 and v2;0.332768
BParser no vectorization;15;abs(v1);0.23161
BParser no vectorization;16;sqrt(v1);0.61878
BParser no vectorization;17;exp(v1);2.48542
BParser no vectorization;18;log(v1);2.02167
BParser no vectorization;19;log10(v1);3.76784
BParser no vectorization;20;sin(v1);4.3807
BParser no vectorization;21;sinh(v1);3.1466
BParser no vectorization;22;asin(v1);2.32796
BParser no vectorization;23;cos(v1);4.4195
BParser no vectorization;24;cosh(v1);2.785
BParser no vectorization;25;acos(v1);2.37575
BParser no vectorization;26;tan(v1);10.0063
BParser no vectorization;27;tanh(v1);1.14782
BParser no vectorization;28;atan(v1);3.88607
BParser no vectorization;29;ceil(v1);0.650545
BParser no vectorization;30;floor(v1);0.650774
BParser no vectorization;31;isnan(v1);0.256146
BParser no vectorization;32;isinf(v1);0.323099
BParser no vectorization;33;sgn(v1);0.326482
BParser no vectorization;34;atan2(v1, v2);8.00611
BParser no vectorization;35;v1 ** v2;5.02736
BParser no vectorization;36;maximum(v1, v2);0.431112
BParser no vectorization;37;minimum(v1, v2);0.32895
BParser no vectorization;38;v3 if v1 == v2 else v4;1.06249
BParser no vectorization;39;cv1 + v1 + v2 - v3;1.00851
BParser no vectorization;40;cs1 - v1 + v2 * v3;0.989812
BParser no vectorization;41;cs1 * v1 / v2;0.749835
BParser no vectorization;42;cv1 / v1 * v2 / v3;1.1854
BParser no vectorization;43;v1 + v2 + v3 + v4;0.987566
BParser no vectorization;44;3 * v1 + cs1 * v2 + v3 + 2.5 * v4;1.97549
BParser_OLD;0;-v1;0.161527
BParser_OLD;1;v1 + v2;0.225973
BParser_OLD;2;v1 - v2;0.222725
BParser_OLD;3;v1 * v2;0.222953
BParser_OLD;4;v1 / v2;0.412212
BParser_OLD;5;v1 % v2;1.69112
BParser_OLD;6;(v1 == v2);0.672515
BParser_OLD;7;v1 != v2;0.622514
BParser_OLD;8;v1 < v2;0.471372
BParser_OLD;9;v1 <= v2;0.470681
BParser_OLD;10;v1 > v2;0.472831
BParser_OLD;11;v1 >= v2;0.474021
BParser_OLD;12;not (v1 == v2);1.07276
